url,header,author
/news/articles/2023-11-07/tata-explores-sale-of-voltas-home-appliance-business-sources-say?srnd=null,"Tata Considering Sale of Voltas Home Appliance Business, Sources Say",By   Baiju Kalesh and P R Sanjai
/news/articles/2023-11-07/turkish-billionaire-said-to-approach-qia-for-istanbul-port-sale?srnd=null,Turkish Billionaire Approaches QIA for Istanbul Port Sale,By   Asli Kandemir and Kerim Karakaya
/news/articles/2023-11-07/us-debt-bill-rockets-past-a-cool-1-trillion-a-year?srnd=null,US Debt Interest Bill Rockets Past a Cool $1 Trillion a Year,By   Ruth Carson and Mark Cudmore
/news/articles/2023-11-07/china-s-fuel-exports-drop-to-june-low-as-refiners-use-up-quotas?srnd=null,China’s Fuel Exports Drop to June Low as Refiners Use Up Quotas,By   Bloomberg News
/news/articles/2023-11-07/aramco-keeps-payout-at-29-billion-in-boon-for-saudi-finances?srnd=null,Aramco Keeps $29 Billion Payout Even as Oil Production Falls,By   Fahad Abuljadayel and Anthony Di Paola
/news/articles/2023-11-07/citadel-s-ken-griffin-says-global-investors-have-to-invest-in-china?srnd=null,Citadel’s Ken Griffin Says Global Investors Have to Invest in China,By   Lulu Yilun Chen
/news/articles/2023-11-07/metals-drop-from-highest-in-five-weeks-on-fresh-demand-doubts?srnd=null,Metals Drop From Five-Week High After Mixed China Trade Data,By   Yvonne Yue Li
/news/articles/2023-11-07/ubs-posts-first-loss-since-2017-amid-credit-suisse-integration?srnd=null,UBS Shares Rise as Lender Wins Back Credit Suisse Clients,By   Myriam Balezou and Marion Halftermeyer
/news/articles/2023-11-07/private-south-africa-port-project-set-to-boost-manganese-exports?srnd=null,Private South Africa Port Project Set to Boost Manganese Exports,By   Paul Burkhardt and Matthew Hill
/news/articles/2023-11-07/china-ev-makers-fall-on-report-of-tesla-s-cheaper-eu-made-model?srnd=null,China EV Makers Fall on Report of Tesla’s Cheaper EU-Made Model,By   Bloomberg News
/news/articles/2023-11-07/world-beating-pakistan-stock-rally-triggers-overbought-signal?srnd=null,World-Beating Pakistan Stock Rally Triggers Overbought Signal,By   Chiranjivi Chakraborty and Akshay Chinchalkar
/news/articles/2023-11-07/cathie-wood-sells-top-bet-roku-as-stock-surges-on-upbeat-outlook?srnd=null,Cathie Wood Sells Top Bet Roku as Stock Surges on Upbeat Outlook,By   Abhishek Vishnoi
/news/articles/2023-11-07/indonesia-returns-to-dollar-sukuk-debt-market-after-18-months?srnd=null,"Indonesia Sells $2 Billion Dollar Sukuk, First in 18 Months",By   Harry Suhartono and Ameya Karve
/news/articles/2023-11-07/morgan-stanley-ceo-sees-next-chapter-for-best-banking-jv?srnd=null,Morgan Stanley CEO Sees Next Chapter for ‘Best’ Banking JV,By   Takashi Nakamichi
/news/articles/2023-11-07/wework-goes-bankrupt-capping-co-working-company-s-downfall?srnd=null,"WeWork Goes Bankrupt, Signs Pact With Creditors to Cut Debt",By   Ethan M Steinberg and Amelia Pollard
/news/articles/2023-11-07/hong-kong-summit-latest-goldman-sachs-citadel-among-wall-street-chiefs-in-hk?srnd=null,HK Summit Latest: Goldman Sees Better Capital Markets Outlook,By   Bloomberg News
/news/articles/2023-11-07/proxy-firm-iss-backs-brookfield-s-origin-energy-takeover-offer?srnd=null,Proxy Firm ISS Backs Brookfield’s Origin Energy Takeover Offer,By   Harry Brumpton
/news/articles/2023-11-07/china-gives-rare-show-of-support-to-distressed-developer-vanke?srnd=null,China Gives Rare Show of Support to Stressed Developer Vanke,By   Bloomberg News
/news/articles/2023-11-07/clsa-names-new-executives-with-hong-kong-clawing-back-power?srnd=null,CLSA Names New Executives With Hong Kong Clawing Back Power,By   Cathy Chan
/news/articles/2023-11-07/goldman-sachs-s-chief-japan-economist-leaves-after-over-a-decade?srnd=null,Goldman Sachs’s Chief Japan Economist Leaves After Over a Decade,By   Takashi Nakamichi and Nao Sano
/news/articles/2023-11-07/korea-s-kospi-stock-gauge-dips-paring-gain-on-short-selling-ban?srnd=null,Korea Stocks Pare Gains Spurred by Sudden Short-Selling Ban,By   Youkyung Lee
/news/articles/2023-11-07/oil-holds-gains-as-opec-supply-curbs-balanced-by-demand-woes?srnd=null,"Oil Falls to Lowest Since July on China Trade Data, Fed Comments",By   Julia Fanzeres and Mia Gindis
/news/articles/2023-11-06/global-funds-tiptoe-back-into-chinese-stocks-as-market-rebounds?srnd=null,Global Funds Tiptoe Back Into Chinese Stocks as Market Rebounds,By   Bloomberg News
/news/articles/2023-11-06/bulls-have-upper-hand-in-run-up-to-india-election-history-shows?srnd=null,"Bulls Have Upper Hand in Run-Up to India Election, History Shows",By   Akshay Chinchalkar
/news/articles/2023-11-06/stock-market-today-dow-s-p-live-updates?srnd=null,S&P Defies Fed ‘Pushback’ in Longest Win Since ‘21: Markets Wrap,By   Rita Nazareth
/news/articles/2023-11-06/s-p-warns-about-subprime-auto-bonds-from-flagship-carfinance?srnd=null,"S&P Warns About Subprime Auto Bonds From Flagship, CarFinance",By   Immanual John Milton
/news/articles/2023-11-06/transcript-the-challenge-of-making-childcare-abundant-and-cheap?srnd=null,The Challenge of Making Childcare Abundant and Cheap,"By   Tracy Alloway, Joe Weisenthal and Aashna Shah"
/news/articles/2023-11-06/grindr-working-with-jpmorgan-to-refinance-fortress-led-term-loan?srnd=null,Grindr Working With JPMorgan to Refinance Fortress-Led Term Loan,By   Michael Tobin and Carmen Arroyo
/news/articles/2023-11-06/birkenstock-ipo-was-too-high-say-some-banks-that-took-it-public?srnd=null,"Birkenstock IPO Was Too High, Say Some Banks That Took It Public",By   Bailey Lipschultz
/news/articles/2023-11-06/gates-backed-mining-start-up-wants-to-expand-into-congo?srnd=null,Bill Gates-Backed Mining Startup Wants to Expand Into Congo,By   William Clowes
/news/articles/2023-11-06/wheat-exports-from-the-us-plunge-to-20-year-low-as-rivers-dry-up?srnd=null,US Wheat Exports Plunge to 20-Year Low as Mississippi River Dries Up,By   Michael Hirtzer and Dominic Carey
/news/articles/2023-11-06/blue-owl-s-dyal-plans-2-billion-middle-market-stakes-fund?srnd=null,Blue Owl’s Dyal Plans $2 Billion Middle-Market Stakes Fund,By   Gillian Tan
/news/articles/2023-11-06/emerging-market-borrowers-rush-to-sell-debt-after-broad-based-bond-rally?srnd=null,Emerging Market Borrowers Rush to Sell Debt After Broad-Based Rally,By   Zijia Song and Kevin Simauchi
/news/articles/2023-11-06/record-setting-push-into-both-ends-of-yield-curve-set-to-pay-off?srnd=null,Record-Setting Push Into Both Ends of Yield Curve Set to Pay Off,By   Katie Greifeld
/news/articles/2023-11-06/ski-chalet-prices-rise-on-demand-for-refuge-from-heat-waves?srnd=null,Ski Chalet Prices Rise on Demand for Refuge From Heat Waves,By   Paula Doenecke
/news/articles/2023-11-06/a-record-number-of-supertankers-is-headed-to-collect-us-oil?srnd=null,A Record Number of Supertankers Is Headed to Collect US Oil,By   Bill Lehane
/news/articles/2023-11-06/us-voters-to-weigh-over-44-billion-of-bond-measures-in-election?srnd=null,US Voters to Weigh Over $44 Billion of Bond Measures in Midterm Election,By   Eniola Longe and Nic Querolo
/news/articles/2023-11-06/s-p-500-spx-nears-its-next-roadblock-after-the-best-week-in-a-year?srnd=null,S&P 500 Nears Its Next Roadblock After the Best Week in a Year,By   Jessica Menton
/news/articles/2023-11-06/wall-street-deems-birkenstock-a-comfortable-fit-for-investor-portfolios?srnd=null,Wall Street Deems Birkenstock a ‘Comfortable’ Fit for Investor Portfolios,By   Joel Leon
/news/articles/2023-11-06/wework-s-multibillion-rescue-couldn-t-save-it-from-office-bust?srnd=null,WeWork’s Multibillion Rescue Couldn’t Save It From Office Bust,By   Eliza Ronalds-Hannon and Reshmi Basu
/news/articles/2023-11-06/roche-taps-us-bond-market-to-help-fund-telavant-acquisition?srnd=null,Roche Sells $5.5 Billion of Bonds to Fund Telavant Buyout,By   Olivia Raimonde
/news/articles/2023-11-06/citigroup-resumes-work-on-investcorp-capital-s-abu-dhabi-ipo?srnd=null,Citigroup Resumes Work on Investcorp Capital’s Abu Dhabi IPO,"By   Archana Narayanan, Julia Fioretti and Swetha Gopinath"
/news/articles/2023-11-06/rtx-selling-debt-to-repay-loan-backing-10-billion-share-buyback?srnd=null,RTX Taps Bond Market to Repay Loan Backing $10 Billion Share Buyback,By   Caleb Mutua
/news/articles/2023-11-06/rbc-hires-warshawsky-from-goldman-as-tech-managing-director?srnd=null,RBC Hires Warshawsky From Goldman as Tech Managing Director,By   Christine Dobby
/news/articles/2023-11-06/carlos-slim-among-acapulco-hotel-owners-committing-to-reopening?srnd=null,Slim Among Acapulco Hotel Owners Committing to Reopening,By   Carolina Millan
/news/articles/2023-11-06/bulls-are-back-in-emerging-markets-as-growth-stocks-outperform?srnd=null,Bulls Are Back in Emerging Markets as Growth Stocks Outperform,By   Srinivasan Sivabalan and Carolina Wilson
/news/articles/2023-11-06/doubleline-is-overweight-blue-chip-debt-for-first-time-in-decade?srnd=null,DoubleLine Is Overweight Blue-Chip Debt for First Time in Decade,By   Caleb Mutua
/news/articles/2023-11-06/trader-vitol-hires-iron-ore-veteran-as-it-mulls-return-to-metals?srnd=null,Trader Vitol Hires Iron Ore Veteran as It Mulls Return to Metals,"By   Archie Hunter, Sheryl Tian Tong Lee and Liz Yee Xing Ng"
/news/articles/2023-11-06/iran-oil-flows-fell-sharply-last-month-satellites-watcher-says?srnd=null,"Iran Oil Flows Fell Sharply Last Month, Satellites Watcher Says",By   Alaric Nightingale
/news/articles/2023-11-06/newmont-prepares-to-sell-mines-as-newcrest-acquisition-closes?srnd=null,Newmont Looks to Sell Mines as Newcrest Acquisition Closes,By   Jacob Lorinc
/news/articles/2023-11-06/war-risk-premium-in-oil-s-options-markets-is-virtually-gone?srnd=null,War-Risk Premium in Oil’s Options Markets Is Virtually Gone,By   Alex Longley and Devika Krishna Kumar
/news/articles/2023-11-06/greenlight-capital-tells-vitesco-to-secure-better-schaeffler-bid?srnd=null,Greenlight Capital Pushes Vitesco for Better Schaeffler Bid,By   Eyk Henning
/news/articles/2023-11-06/psg-said-to-double-europe-fund-size-with-2-6-billion-raise?srnd=null,PSG Doubles Europe Fund Size With €2.6 Billion Raise,By   Swetha Gopinath
/news/articles/2023-11-06/abu-dhabi-omv-move-closer-to-forming-30-billion-chemical-giant?srnd=null,"Adnoc, OMV Move Closer to Forming €30 Billion Chemical Giant",By   Eyk Henning and Dinesh Nair
/news/articles/2023-11-06/dry-panama-risks-driving-large-oil-tankers-away-from-the-canal?srnd=null,Dry Panama Risks Driving Large Oil Tankers Away From the Canal,By   Alaric Nightingale
/news/articles/2023-11-06/brookfield-raises-26-billion-in-third-quarter-in-tough-market?srnd=null,"Brookfield Raises $26 Billion on Oaktree, Infra Fund Boost",By   Layan Odeh
/news/articles/2023-11-06/euro-hopeful-bulgaria-selling-bonds-in-two-tranches-to-fund-debt?srnd=null,Euro Hopeful Bulgaria Sells Two-Tranche Bonds to Fund Debt,By   Slav Okov
/news/articles/2023-11-06/capvest-to-buy-industrial-chemicals-firm-recochem-from-h-i-g?srnd=null,CapVest to Buy Industrial Chemicals Firm Recochem From H.I.G.,By   Dinesh Nair
